Name,Code,2010,2017
Aruba,ABW,2467703911,2467703911
Afghanistan,AFG,15936800636,20815300220
Angola,AGO,82526143645,1.24209E+11
Albania,ALB,11926953259,13039352744
Andorra,AND,3355695364,3012914131
Arab World,ARB,2.10955E+12,2.59105E+12
United Arab Emirates,ARE,2.89787E+11,3.82575E+11
Argentina,ARG,4.23627E+11,6.3759E+11
Armenia,ARM,9260284938,11536590636
American Samoa,ASM,576000000,576000000
Antigua and Barbuda,ATG,1152469074,1532397556
Australia,AUS,1.14426E+12,1.32342E+12
Austria,AUT,3.91893E+11,4.16596E+11
Azerbaijan,AZE,52902703376,40747792238
Burundi,BDI,2026864469,3477502178
Belgium,BEL,4.83548E+11,4.92681E+11
Benin,BEN,6970240895,9273558272
Burkina Faso,BFA,8979966766,12873114800
Bangladesh,BGD,1.15279E+11,2.49724E+11
Bulgaria,BGR,50610058210,56831518294
Bahrain,BHR,25713271277,35307127660
"Bahamas, The",BHS,10095760000,12162100000
Bosnia and Herzegovina,BIH,17176781337,18168579578
Belarus,BLR,57222490769,54442374373
Belize,BLZ,1397113450,1838000000
Bermuda,BMU,5744414000,5744414000
Bolivia,BOL,19649631308,37508642113
Brazil,BRA,2.20887E+12,2.05551E+12
Barbados,BRB,4461650000,4796845981
Brunei Darussalam,BRN,13707370737,12128089002
Bhutan,BTN,1585472534,2511852941
Botswana,BWA,12786654366,17406530781
Central African Republic,CAF,1986015906,1949411659
Canada,CAN,1.61346E+12,1.65304E+12
Central Europe and the Baltics,CEB,1.3127E+12,1.45075E+12
Switzerland,CHE,5.83783E+11,6.78887E+11
Channel Islands,CHI,,
Chile,CHL,2.18538E+11,2.77076E+11
China,CHN,6.10062E+12,1.22377E+13
Cote d'Ivoire,CIV,24884505035,40388624117
Cameroon,CMR,26143818510,34798596482
"Congo, Dem. Rep.",COD,21565722425,37241300949
"Congo, Rep.",COG,12007880439,8722553001
Colombia,COL,2.87018E+11,3.09191E+11
Comoros,COM,530493353.2,648920942.7
Cabo Verde,CPV,1664310770,1753736712
Costa Rica,CRI,37268635287,57057372468
Caribbean small states,CSS,63131259584,69331419651
Cuba,CUB,64328000000,64328000000
Curacao,CUW,,
Cayman Islands,CYM,,
Cyprus,CYP,25562251656,21651791751
Czech Republic,CZE,2.07478E+11,2.15726E+11
Germany,DEU,3.41709E+12,3.67744E+12
Djibouti,DJI,1128611700,1844674435
Dominica,DMA,493824407.4,562540740.7
Denmark,DNK,3.21995E+11,3.24872E+11
Dominican Republic,DOM,53982886258,75931656815
Algeria,DZA,1.61207E+11,1.70371E+11
East Asia & Pacific (excluding high income),EAP,7.88245E+12,1.47423E+13
Early-demographic dividend,EAR,8.51864E+12,1.12494E+13
East Asia & Pacific,EAS,1.69433E+13,2.39993E+13
Europe & Central Asia (excluding high income),ECA,3.09528E+12,3.3005E+12
Europe & Central Asia,ECS,2.09196E+13,2.14385E+13
Ecuador,ECU,69555367000,1.03057E+11
"Egypt, Arab Rep.",EGY,2.18888E+11,2.35369E+11
Euro area,EMU,1.2641E+13,1.25895E+13
Eritrea,ERI,2117039512,2117039512
Spain,ESP,1.43162E+12,1.31132E+12
Estonia,EST,19490936349,25921079612
Ethiopia,ETH,29933790334,80561496134
European Union,EUU,1.69874E+13,1.72777E+13
Fragile and conflict affected situations,FCS,6.41083E+11,8.30727E+11
Finland,FIN,2.478E+11,2.51885E+11
Fiji,FJI,3140508836,5061202767
France,FRA,2.64261E+12,2.5825E+12
Faroe Islands,FRO,2301168187,2301168187
"Micronesia, Fed. Sts.",FSM,296525300,336427532.9
Gabon,GAB,14358631634,14622880886
United Kingdom,GBR,2.44117E+12,2.62243E+12
Georgia,GEO,11638536834,15159281211
Ghana,GHA,32174772956,47330016343
Gibraltar,GIB,,
Guinea,GIN,6992497899,10496056733
"Gambia, The",GMB,951806368.7,1014621520
Guinea-Bissau,GNB,850633309.8,1346933490
Equatorial Guinea,GNQ,16298542028,12486753871
Greece,GRC,2.99362E+11,2.00288E+11
Grenada,GRD,771015888.9,1118816679
Greenland,GRL,2503156061,
Guatemala,GTM,41338595381,75620095538
Guam,GUM,4895000000,
Guyana,GUY,2273225042,3675631961
High income,HIC,4.57193E+13,5.14754E+13
"Hong Kong SAR, China",HKG,2.28638E+11,3.41449E+11
Honduras,HND,15839344592,22978532897
Heavily indebted poor countries (HIPC),HPC,4.68988E+11,7.28774E+11
Croatia,HRV,59829574391,54849180229
Haiti,HTI,6622541529,8408150518
Hungary,HUN,1.30923E+11,1.39135E+11
IBRD only,IBD,1.99772E+13,2.86485E+13
IDA & IBRD total,IBT,2.14288E+13,3.07418E+13
IDA total,IDA,1.45585E+12,2.09962E+12
IDA blend,IDB,7.10339E+11,9.15342E+11
Indonesia,IDN,7.55094E+11,1.01554E+12
IDA only,IDX,7.38243E+11,1.18602E+12
Isle of Man,IMN,5920177689,
India,IND,1.65662E+12,2.59749E+12
Not classified,INX,,
Ireland,IRL,2.21951E+11,3.33731E+11
"Iran, Islamic Rep.",IRN,4.8707E+11,4.39514E+11
Iraq,IRQ,1.38517E+11,1.97716E+11
Iceland,ISL,13310567803,23909289979
Israel,ISR,2.3361E+11,3.50851E+11
Italy,ITA,2.12506E+12,1.9348E+12
Jamaica,JAM,13191645686,14768134912
Jordan,JOR,26425379437,40068308516
Japan,JPN,5.7001E+12,4.87214E+12
Kazakhstan,KAZ,1.48047E+11,1.59407E+11
Kenya,KEN,40000088347,74938190655
Kyrgyz Republic,KGZ,4794357795,7564738836
Cambodia,KHM,11242275199,22158209503
Kiribati,KIR,153275912.7,196150061.3
St. Kitts and Nevis,KNA,705015370.4,945854481.5
