"","BIOME","ISO_A3","carbon_potential","potential_value","CP"
"1",1,"",13400105.3908235,22,"pasture"
"2",1,"CAN",42982426.9385294,19,"pasture"
"3",1,"CHN",9299.12488235294,47,"pasture"
"4",1,"FIN",4442623.97311765,28,"pasture"
"5",1,"ISL",6985820.2127647,22,"pasture"
"6",1,"MNG",40895564.7787059,49,"pasture"
"7",1,"NOR",2321276.26094118,44,"pasture"
"8",1,"RUS",65480487.9702353,32,"pasture"
"9",1,"SPM",38171.8803529412,16,"pasture"
"10",1,"SWE",1348335.27952941,32,"pasture"
"11",1,"USA",3995181.84529412,19,"pasture"
"12",2,"",33498012.8968235,46,"pasture"
"13",2,"ABW",79926.8784705886,77,"pasture"
"14",2,"AFG",900441073.023705,81,"pasture"
"15",2,"AGO",99733120.1662941,50,"pasture"
"16",2,"AIA",64908.615882353,56,"pasture"
"17",2,"ARE",2403688.04135294,18,"pasture"
"18",2,"ATG",195625.322647059,48,"pasture"
"19",2,"AUS",2324060216.58812,38,"pasture"
"20",2,"AZE",17400989.8819412,63,"pasture"
"21",2,"BHR",NA,NA,"pasture"
"22",2,"BRB",552487.448470587,76,"pasture"
"23",2,"BWA",95440496.1462353,14,"pasture"
"24",2,"CHL",367059.402529411,12,"pasture"
"25",2,"CHN",898979350.497176,60,"pasture"
"26",2,"COL",14951251.4251765,51,"pasture"
"27",2,"CUB",1424540.802,74,"pasture"
"28",2,"CUW",607077.372176471,68,"pasture"
"29",2,"DJI",3434294.25211765,17,"pasture"
"30",2,"DMA",12645.789,39,"pasture"
"31",2,"DZA",114814000.057941,14,"pasture"
"32",2,"ECU",915322.367294117,60,"pasture"
"33",2,"EGY",4540892.06523529,13,"pasture"
"34",2,"ERI",11308315.0644706,17,"pasture"
"35",2,"ESH",NA,NA,"pasture"
"36",2,"ETH",48319578.5112353,40,"pasture"
"37",2,"FRA",202439.281764706,53,"pasture"
"38",2,"GEO",2858659.1447647,60,"pasture"
"39",2,"GRD",3032.02623529412,28,"pasture"
"40",2,"GTM",1682.52547058824,89,"pasture"
"41",2,"IND",6648158.8577647,80,"pasture"
"42",2,"IRN",518859584.402647,48,"pasture"
"43",2,"IRQ",28012043.7529412,39,"pasture"
"44",2,"ISR",777056.055176471,26,"pasture"
"45",2,"JOR",1719385.13064706,19,"pasture"
"46",2,"KAZ",3856025216.85741,41,"pasture"
"47",2,"KGZ",2514.69529411765,45,"pasture"
"48",2,"KNA",3741.67764705882,24,"pasture"
"49",2,"KWT",1967887.67223529,26,"pasture"
"50",2,"LBY",147782839.981235,24,"pasture"
"51",2,"LCA",1245.633,30,"pasture"
"52",2,"LKA",672541.573411765,67,"pasture"
"53",2,"MAF",40186.0491176471,57,"pasture"
"54",2,"MAR",22824780.2729117,20.5,"pasture"
"55",2,"MDG",100090838.909647,48,"pasture"
"56",2,"MEX",275029172.458765,16,"pasture"
"57",2,"MLI",NA,NA,"pasture"
"58",2,"MNG",667433225.629059,34,"pasture"
"59",2,"MRT",NA,NA,"pasture"
"60",2,"MSR",5844.14373529412,22.5,"pasture"
"61",2,"NAM",327175937.593059,23,"pasture"
"62",2,"NER",6094153.50141176,14,"pasture"
"63",2,"NLD",194924.420470588,56,"pasture"
"64",2,"OMN",4543971.24582353,16,"pasture"
"65",2,"PAK",44644522.8100588,82,"pasture"
"66",2,"PER",15406826.5152353,22,"pasture"
"67",2,"PSE",115718.737941176,38,"pasture"
"68",2,"QAT",NA,NA,"pasture"
"69",2,"RUS",187662019.658471,41,"pasture"
"70",2,"SAU",19200724.516147,14.5,"pasture"
"71",2,"SDN",19448764.9221176,14,"pasture"
"72",2,"SOL",61613918.2904117,53,"pasture"
"73",2,"SOM",37487524.1618823,20,"pasture"
"74",2,"SXM",51606.3340588236,60,"pasture"
"75",2,"SYR",43536607.8670588,40,"pasture"
"76",2,"TCD",24555164.6647059,15,"pasture"
"77",2,"TJK",4559561.39170587,45,"pasture"
"78",2,"TKM",581259797.149235,42,"pasture"
"79",2,"TUN",18486308.6867647,40,"pasture"
"80",2,"USA",2471896938.19853,43,"pasture"
"81",2,"UZB",380171139.060529,42,"pasture"
"82",2,"VCT",1210.79205882353,21,"pasture"
"83",2,"VEN",20152027.8217059,52,"pasture"
"84",2,"VGB",40449.9896470588,52,"pasture"
"85",2,"VIR",103964.912117647,53,"pasture"
"86",2,"YEM",283535227.927411,41,"pasture"
"87",2,"ZAF",780381841.066234,36,"pasture"
"88",2,"ZWE",497701.423941175,15,"pasture"
"89",3,"",1209128.45841177,57,"pasture"
"90",3,"AGO",11549948.7601765,34,"pasture"
"91",3,"ARG",31494659.4287647,35,"pasture"
"92",3,"BOL",743155.261235294,35,"pasture"
"93",3,"BRA",63299535.3975882,40,"pasture"
"94",3,"BWA",24546600.473647,35,"pasture"
"95",3,"CHN",21087161.1981176,36,"pasture"
"96",3,"CMR",3530016.03635294,56,"pasture"
"97",3,"COD",37809.0697058823,44,"pasture"
"98",3,"CUB",224592.459,33,"pasture"
"99",3,"DOM",27232.3487647059,12,"pasture"
"100",3,"DZA",831731.813117647,38,"pasture"
"101",3,"ECU",46217.1349411765,39,"pasture"
"102",3,"EGY",778565.335411763,49,"pasture"
"103",3,"ETH",67351.9937647059,40,"pasture"
"104",3,"IND",3392817.51247059,95,"pasture"
"105",3,"IRN",5052084.2807647,42,"pasture"
"106",3,"IRQ",401134.499117648,45,"pasture"
"107",3,"KEN",47108.9731764709,17,"pasture"
"108",3,"LBY",72325.0589999999,22,"pasture"
"109",3,"MLI",18233391.0338823,20,"pasture"
"110",3,"MOZ",462804.814941177,58,"pasture"
"111",3,"MRT",NA,NA,"pasture"
"112",3,"MWI",48003.0524117647,59,"pasture"
"113",3,"NAM",7398531.14752938,39,"pasture"
"114",3,"NER",1343170.26529412,18,"pasture"
"115",3,"NGA",1278396.633,16,"pasture"
"116",3,"PAK",NA,NA,"pasture"
"117",3,"PRY",39722.8729411765,40,"pasture"
"118",3,"RUS",2256526.29423529,41,"pasture"
"119",3,"SDN",177042.193235294,47,"pasture"
"120",3,"SSD",68405773.566,31,"pasture"
"121",3,"TCD",6867854.27347058,55,"pasture"
"122",3,"TUN",4696612.96199999,34,"pasture"
"123",3,"TZA",11914254.7309411,39,"pasture"
"124",3,"USA",791202.399176471,50,"pasture"
"125",3,"VEN",128004.870705882,24,"pasture"
"126",3,"ZMB",16722780.3818824,50,"pasture"
"127",4,"",9972654.86488235,35,"pasture"
"128",4,"ABW",369449.559352941,65,"pasture"
"129",4,"AGO",39261.042,49,"pasture"
"130",4,"ARE",4988.14958823529,19,"pasture"
"131",4,"BGD",581755.177764706,44,"pasture"
"132",4,"BHR",NA,NA,"pasture"
"133",4,"BHS",7955999.69735293,46,"pasture"
"134",4,"BLM",27930.8565882353,85,"pasture"
"135",4,"BLZ",154659.506647059,22,"pasture"
"136",4,"BRA",785790.035117647,28,"pasture"
"137",4,"BRN",88.9951764705882,19,"pasture"
"138",4,"CIV",5333.71147058823,55,"pasture"
"139",4,"CMR",0,92,"pasture"
"140",4,"COD",12294.4567058824,36,"pasture"
"141",4,"COL",487124.873117647,22,"pasture"
"142",4,"CRI",30050.8558235294,21,"pasture"
"143",4,"CUB",1684937.12982353,36,"pasture"
"144",4,"CUW",317927.28564706,59,"pasture"
"145",4,"CYM",37819.3886470589,24,"pasture"
"146",4,"DJI",44067.9425294117,11,"pasture"
"147",4,"DOM",65247.024,33,"pasture"
"148",4,"ECU",259988.672294118,23,"pasture"
"149",4,"FRA",62364.8149411765,18,"pasture"
"150",4,"GAB",116041.167882353,75,"pasture"
"151",4,"GHA",241278.103235294,42,"pasture"
"152",4,"GIN",1030.38988235294,63,"pasture"
"153",4,"GMB",144830.945647059,62,"pasture"
"154",4,"GNB",32887.866,60,"pasture"
"155",4,"GNQ",46.1816470588235,110,"pasture"
"156",4,"GTM",6247.467,16,"pasture"
"157",4,"GUY",21634.9279411765,28,"pasture"
"158",4,"HND",129669.409764706,24,"pasture"
"159",4,"HTI",212797.825411765,79,"pasture"
"160",4,"IDN",727748.038941177,45,"pasture"
"161",4,"IND",1056311.55705882,34,"pasture"
"162",4,"JAM",26960.1617647059,30,"pasture"
"163",4,"KEN",19102.4715882353,41,"pasture"
"164",4,"KHM",16266.9139411765,80,"pasture"
"165",4,"KNA",50919.216,38,"pasture"
"166",4,"LBR",0,80,"pasture"
"167",4,"MDG",1679676.71417647,51,"pasture"
"168",4,"MEX",4581303.13305882,32,"pasture"
"169",4,"MMR",1418067.09141176,82,"pasture"
"170",4,"MOZ",9112.19629411765,45,"pasture"
"171",4,"MYS",57461.112,25,"pasture"
"172",4,"NGA",73703.4855882353,75,"pasture"
"173",4,"NIC",315906.522,29,"pasture"
"174",4,"NLD",225064.939941175,55,"pasture"
"175",4,"OMN",NA,NA,"pasture"
"176",4,"PAK",1601331.51247059,71,"pasture"
"177",4,"PAN",45413.6959411765,22,"pasture"
"178",4,"PER",108375.242470588,28,"pasture"
"179",4,"PNG",9992.92694117647,21,"pasture"
"180",4,"PRI",60094.3616470588,40,"pasture"
"181",4,"QAT",NA,NA,"pasture"
"182",4,"SAU",10309.361117647,15,"pasture"
"183",4,"SEN",360711.613411765,59,"pasture"
"184",4,"SLE",380.925,74,"pasture"
"185",4,"SLV",20144.7382941176,32,"pasture"
"186",4,"SOL",452120.446588235,22,"pasture"
"187",4,"SOM",206854.536529411,24,"pasture"
"188",4,"SUR",88293.5661176471,22,"pasture"
"189",4,"TCA",163764.121941177,52,"pasture"
"190",4,"THA",1381662.29929412,71,"pasture"
"191",4,"TTO",4488.17452941176,37,"pasture"
"192",4,"TZA",19589.2053529412,53,"pasture"
"193",4,"USA",157907.291647059,26,"pasture"
"194",4,"VCT",12169.6618235294,47,"pasture"
"195",4,"VEN",2033715.66723529,33,"pasture"
"196",4,"VIR",961.689,65,"pasture"
"197",4,"VNM",755368.480235294,59,"pasture"
"198",4,"YEM",NA,NA,"pasture"
"199",4,"ZAF",43865.2219411765,41,"pasture"
"200",5,"",23269396.824,58,"pasture"
"201",5,"ALB",523956.907411765,52,"pasture"
"202",5,"AUS",237261419.331353,20,"pasture"
"203",5,"BIH",237345.874235294,38,"pasture"
"204",5,"CHL",153835468.281706,72,"pasture"
"205",5,"CYN",893383.689352942,96,"pasture"
"206",5,"CYP",431904.144352941,80,"pasture"
"207",5,"DZA",432728745.458647,98,"pasture"
"208",5,"EGY",537233.403882353,58,"pasture"
"209",5,"ESP",18903798.5368235,63,"pasture"
"210",5,"FRA",3625467.80647059,51,"pasture"
"211",5,"GRC",15119511.819,70,"pasture"
"212",5,"HRV",4498420.28523529,40,"pasture"
"213",5,"ISR",535415.143058824,66,"pasture"
"214",5,"ITA",2503284.95911765,41,"pasture"
"215",5,"JOR",241281.689470588,82,"pasture"
"216",5,"LBN",760379.428411765,76,"pasture"
"217",5,"LBY",35478454.1354117,71,"pasture"
"218",5,"MAR",607295767.619823,107,"pasture"
"219",5,"MCO",384.778588235294,49,"pasture"
"220",5,"MEX",5442337.89599999,23,"pasture"
"221",5,"MKD",379583.189647059,57,"pasture"
"222",5,"MLT",93559.3552941177,37,"pasture"
"223",5,"MNE",280869.737647059,52,"pasture"
"224",5,"PRT",571683.173470588,52,"pasture"
"225",5,"PSE",166816.739294118,78,"pasture"
"226",5,"SVN",5545.99994117647,36,"pasture"
"227",5,"SYR",13793369.6230588,81,"pasture"
"228",5,"TUN",37883068.8455294,110,"pasture"
"229",5,"TUR",27775401.4173529,80,"pasture"
"230",5,"USA",41653919.8907647,31,"pasture"
"231",5,"ZAF",141899212.256294,49,"pasture"
"232",6,"AFG",61902891.2382352,19,"pasture"
"233",6,"AGO",731462.131941176,42,"pasture"
"234",6,"ARG",23312856.6345882,60,"pasture"
"235",6,"AUS",20417.6952352941,129,"pasture"
"236",6,"BOL",42536529.4501764,31,"pasture"
"237",6,"BTN",2497684.34082353,33,"pasture"
"238",6,"CHL",5528129.11747058,40,"pasture"
"239",6,"CHN",1525350375.04553,27,"pasture"
"240",6,"COL",1252545.31005882,23,"pasture"
"241",6,"ECU",1596478.78305882,23,"pasture"
"242",6,"ERI",12901497.6033529,18,"pasture"
"243",6,"ETH",694638.47664706,28,"pasture"
"244",6,"IDN",47165.0731764706,22,"pasture"
"245",6,"IND",6016028.17552941,25,"pasture"
"246",6,"IRN",229075554.869823,95,"pasture"
"247",6,"KAZ",21075958.7175882,19,"pasture"
"248",6,"KEN",24455.07,37,"pasture"
"249",6,"KGZ",33853225.7828823,18,"pasture"
"250",6,"LSO",8219564.80305882,35,"pasture"
"251",6,"MAR",22439467.604647,101,"pasture"
"252",6,"MDG",308747.094352941,53,"pasture"
"253",6,"MNG",237206277.89947,52,"pasture"
"254",6,"MOZ",12084.4918235294,60,"pasture"
"255",6,"MWI",38847.3301764706,55,"pasture"
"256",6,"NGA",854939.686411765,72,"pasture"
"257",6,"NPL",564739.152882353,35,"pasture"
"258",6,"NZL",15112011.9199412,18,"pasture"
"259",6,"PAK",4709323.12023529,65,"pasture"
"260",6,"PER",99010010.1298235,29,"pasture"
"261",6,"RUS",22075729.5531176,31,"pasture"
"262",6,"SDN",1669916.73388235,28,"pasture"
"263",6,"SWZ",1349978.889,61,"pasture"
"264",6,"TJK",684638.260235293,21,"pasture"
"265",6,"TKM",129463344.603529,93,"pasture"
"266",6,"TZA",597687.061058823,60,"pasture"
"267",6,"UGA",20.52,85,"pasture"
"268",6,"UZB",454817.270470588,15,"pasture"
"269",6,"VEN",1716614.98923529,36,"pasture"
"270",6,"ZAF",197380478.614059,48,"pasture"
"271",6,"ZMB",12733.9584705882,52,"pasture"
"272",6,"ZWE",874445.017058824,62,"pasture"
"273",7,"",22016076.7591765,29,"pasture"
"274",7,"ALA",45314.6648823529,40,"pasture"
"275",7,"AND",179286.498176471,24,"pasture"
"276",7,"ARG",23759487.8311764,59,"pasture"
"277",7,"ARM",1098857.53288235,25,"pasture"
"278",7,"AUS",143271011.650765,88,"pasture"
"279",7,"AUT",102404.914941176,41,"pasture"
"280",7,"AZE",6712432.68458823,43,"pasture"
"281",7,"BEL",678892.753941176,62,"pasture"
"282",7,"BGR",876491.315294118,27,"pasture"
"283",7,"BIH",197140.455176471,47,"pasture"
"284",7,"BLR",44227.7306470588,28,"pasture"
"285",7,"BTN",141979.404,90,"pasture"
"286",7,"CAN",2016816.86576471,18,"pasture"
"287",7,"CHE",171112.163823529,44.5,"pasture"
"288",7,"CHL",24074879.4058235,28,"pasture"
"289",7,"CHN",673733790.815294,62,"pasture"
"290",7,"CZE",17186.7850588235,54,"pasture"
"291",7,"DEU",1884502.34558824,38,"pasture"
"292",7,"DNK",1000179.58358824,37,"pasture"
"293",7,"ESP",3783091.41105882,61,"pasture"
"294",7,"EST",315329.111294118,32,"pasture"
"295",7,"FIN",156568.856117647,33,"pasture"
"296",7,"FRA",5796545.39152941,46,"pasture"
"297",7,"GBR",28090654.9854706,21,"pasture"
"298",7,"GEO",6691768.71335294,20,"pasture"
"299",7,"GGY",54091.339764706,57,"pasture"
"300",7,"GRC",58939.1126470588,55,"pasture"
"301",7,"HRV",2440946.64158823,48,"pasture"
"302",7,"HUN",79399.89,41,"pasture"
"303",7,"IMN",110100.237352941,29,"pasture"
"304",7,"IND",3201127.11952941,28,"pasture"
"305",7,"IRL",5973186.78158823,22,"pasture"
"306",7,"IRN",758051850.61447,85,"pasture"
"307",7,"IRQ",1543943.97652941,58,"pasture"
"308",7,"ITA",380127.358058824,35,"pasture"
"309",7,"JEY",77784.8165294117,51,"pasture"
"310",7,"JPN",11706309.7828235,65,"pasture"
"311",7,"KOR",3353533.65388235,66,"pasture"
"312",7,"KOS",1101.09952941176,25,"pasture"
"313",7,"LTU",116173.125882353,31,"pasture"
"314",7,"LVA",223529.370352941,30,"pasture"
"315",7,"MKD",813775.395705882,54,"pasture"
"316",7,"MMR",15056.451,22,"pasture"
"317",7,"MNE",121394.565,67,"pasture"
"318",7,"NLD",4319667.76411765,51,"pasture"
"319",7,"NOR",116904.291176471,37,"pasture"
"320",7,"NPL",620399.092058824,47,"pasture"
"321",7,"NZL",7453452.87635294,19,"pasture"
"322",7,"POL",366756.941470588,34,"pasture"
"323",7,"PRK",2007154.99023529,62,"pasture"
"324",7,"PRT",121551.243705882,66,"pasture"
"325",7,"ROU",2717139.52535294,35,"pasture"
"326",7,"RUS",30266181.3181765,26,"pasture"
"327",7,"SRB",457199.147823529,38,"pasture"
"328",7,"SVK",41857.0275882353,41,"pasture"
"329",7,"SVN",152990.250352941,34,"pasture"
"330",7,"SWE",2135070.98947059,38,"pasture"
"331",7,"TUR",81215740.1334706,65,"pasture"
"332",7,"UKR",229449.052235294,33,"pasture"
"333",7,"USA",19208900.7502941,20,"pasture"
"334",8,"",4908712.02352941,32,"pasture"
"335",8,"AFG",30573461.6461764,77,"pasture"
"336",8,"AUT",4966118.42347059,20,"pasture"
"337",8,"BTN",84500.5914705882,30,"pasture"
"338",8,"CAN",6203945.72241176,35,"pasture"
"339",8,"CHE",2882233.92705882,17,"pasture"
"340",8,"CHN",241671321.879882,37,"pasture"
"341",8,"CZE",4272.39458823529,53,"pasture"
"342",8,"DEU",82282.3588235294,29,"pasture"
"343",8,"DZA",7443946.47617647,81,"pasture"
"344",8,"FRA",612790.425529412,17,"pasture"
"345",8,"GBR",1774327.67594118,20,"pasture"
"346",8,"IND",867024.331764706,27,"pasture"
"347",8,"IRN",175906977.387353,90,"pasture"
"348",8,"ITA",853926.823764706,23,"pasture"
"349",8,"JPN",450185.156823529,57,"pasture"
"350",8,"KAZ",4200792.18158823,54,"pasture"
"351",8,"KGZ",3767362.42447058,19,"pasture"
"352",8,"MAR",24228239.7423529,104,"pasture"
"353",8,"MMR",16.425,29,"pasture"
"354",8,"MNG",310616335.077529,55,"pasture"
"355",8,"NOR",3287020.91029412,36,"pasture"
"356",8,"NPL",132690.916235294,30,"pasture"
"357",8,"PAK",1564868.41270588,140,"pasture"
"358",8,"POL",9676.77352941176,51,"pasture"
"359",8,"ROU",3506310.40235294,41,"pasture"
"360",8,"RUS",6410077.49223529,30,"pasture"
"361",8,"SVK",133865.638058824,52,"pasture"
"362",8,"SVN",28275.1778823529,33,"pasture"
"363",8,"TUN",89590.8901764706,103,"pasture"
"364",8,"TUR",28431653.6692941,78,"pasture"
"365",8,"UKR",73273.8944117647,37,"pasture"
"366",8,"USA",301330878.647823,48,"pasture"
"367",9,"",12397175.9262353,26,"pasture"
"368",9,"AFG",2984411.00505882,19,"pasture"
"369",9,"ARE",36278.9497058824,13,"pasture"
"370",9,"ARG",1232918855.45347,28,"pasture"
"371",9,"ARM",5866875.12811765,64,"pasture"
"372",9,"AUS",987360289.987235,47,"pasture"
"373",9,"AZE",10046954.3089412,89,"pasture"
"374",9,"CAN",76178451.3142941,18,"pasture"
"375",9,"CHL",14578908.15,24,"pasture"
"376",9,"CHN",1488385705.05829,54,"pasture"
"377",9,"FLK",10363134.9321176,14,"pasture"
"378",9,"GEO",760605.108352941,47,"pasture"
"379",9,"IRN",42356379.0767647,37,"pasture"
"380",9,"IRQ",13477488.7314706,90,"pasture"
"381",9,"KAZ",1691526440.74906,56,"pasture"
"382",9,"KGZ",225336996.608118,81,"pasture"
"383",9,"MNG",1984078459.68635,63,"pasture"
"384",9,"NZL",15535979.9442353,15,"pasture"
"385",9,"OMN",416612.034000001,20,"pasture"
"386",9,"ROU",95228.8561764706,45,"pasture"
"387",9,"RUS",173130351.847412,41,"pasture"
"388",9,"SYR",45023108.2281176,38,"pasture"
"389",9,"TJK",83351855.1508234,90,"pasture"
"390",9,"TKM",15591468.0757059,87,"pasture"
"391",9,"TUR",22755930.0153529,40,"pasture"
"392",9,"UKR",1456526.13511765,38,"pasture"
"393",9,"URY",39801.8947058823,24,"pasture"
"394",9,"USA",1456605152.19441,30,"pasture"
"395",9,"UZB",273710885.273117,90,"pasture"
"396",10,"",1524613.08317647,51,"pasture"
"397",10,"BHS",7092257.76529411,49,"pasture"
"398",10,"BMU",7564.15764705882,14,"pasture"
"399",10,"CUB",499881.457235294,42,"pasture"
"400",10,"DOM",262975.521176471,82,"pasture"
"401",10,"GTM",83965.3736470588,89,"pasture"
"402",10,"HND",24134.7658235294,90,"pasture"
"403",10,"HTI",15631.1246470588,84,"pasture"
"404",10,"IDN",34.2778235294118,142,"pasture"
"405",10,"IND",6856763.98129412,136,"pasture"
"406",10,"MEX",60689964.3829411,24,"pasture"
"407",10,"MMR",5914.45764705882,126,"pasture"
"408",10,"NIC",587293.476352941,84,"pasture"
"409",10,"NPL",184731.521647059,113,"pasture"
"410",10,"PAK",324490.674176471,139,"pasture"
"411",10,"SLV",513457.725882353,86,"pasture"
"412",10,"TCA",155268.231882353,53,"pasture"
"413",10,"USA",4013548.02599998,25,"pasture"
"414",11,"",7959746.12647059,57,"pasture"
"415",11,"AGO",23997.7597058824,43,"pasture"
"416",11,"AIA",5153.7674117647,59,"pasture"
"417",11,"ATG",15795.7348235294,63,"pasture"
"418",11,"BOL",22168858.872,41,"pasture"
"419",11,"BRA",136562069.989765,49,"pasture"
"420",11,"COL",52948871.7965294,61,"pasture"
"421",11,"CRI",907448.516647059,79,"pasture"
"422",11,"CUB",3132039.46658823,44,"pasture"
"423",11,"CYM",18914.3258823529,26,"pasture"
"424",11,"DOM",1047495.53823529,73,"pasture"
"425",11,"ECU",986891.581058824,57,"pasture"
"426",11,"FRA",13108.8937058824,28,"pasture"
"427",11,"FSM",39983.1721764706,73,"pasture"
"428",11,"GRD",5393.45435294118,24,"pasture"
"429",11,"GTM",35127.6026470588,89,"pasture"
"430",11,"HND",32071.3270588235,58,"pasture"
"431",11,"HTI",432869.875588235,72,"pasture"
"432",11,"IDN",14434190.9495294,102,"pasture"
"433",11,"IND",9755807.16758824,130,"pasture"
"434",11,"JAM",152250.866647059,59,"pasture"
"435",11,"KHM",1088279.52282353,115,"pasture"
"436",11,"LCA",36920.3966470588,35,"pasture"
"437",11,"LKA",872816.265882353,68,"pasture"
"438",11,"MDG",78278311.0877647,56,"pasture"
"439",11,"MEX",98233327.7918822,62,"pasture"
"440",11,"MMR",130911.57,99,"pasture"
"441",11,"MSR",7656.63494117647,16,"pasture"
"442",11,"NCL",4678949.97335294,99,"pasture"
"443",11,"NIC",2185033.94664706,61,"pasture"
"444",11,"NLD",30284.8625294118,84,"pasture"
"445",11,"PAN",17369.2314705882,49,"pasture"
"446",11,"PER",468969.175764705,35,"pasture"
"447",11,"PRI",58373.9984117647,45,"pasture"
"448",11,"SLV",194551.782705882,59,"pasture"
"449",11,"THA",558718.594411765,116,"pasture"
"450",11,"TLS",2203151.3532353,105,"pasture"
"451",11,"TTO",29389.0505294118,24,"pasture"
"452",11,"USA",13498771.229647,79,"pasture"
"453",11,"VCT",714.715941176471,22,"pasture"
"454",11,"VEN",42616981.3191176,53,"pasture"
"455",11,"VNM",3484108.00182353,89,"pasture"
"456",11,"ZMB",1012574.50641176,51,"pasture"
"457",12,"",20644602.1642941,66,"pasture"
"458",12,"AGO",94618925.1379412,40,"pasture"
"459",12,"ARG",109671272.34,40,"pasture"
"460",12,"AUS",2927115114.52941,62,"pasture"
"461",12,"BDI",65436.3248823529,54,"pasture"
"462",12,"BEN",244025.419941176,46,"pasture"
"463",12,"BFA",18008573.2648235,38,"pasture"
"464",12,"BLZ",8255.06505882353,21,"pasture"
"465",12,"BOL",110607037.748471,35,"pasture"
"466",12,"BRA",577381337.547706,55,"pasture"
"467",12,"BWA",105070869.714882,27,"pasture"
"468",12,"CAF",6958493.43917647,61,"pasture"
"469",12,"CIV",4950157.284,54,"pasture"
"470",12,"CMR",5934369.92047059,64,"pasture"
"471",12,"COD",670190.224941176,41,"pasture"
"472",12,"COG",556281.417352941,39,"pasture"
"473",12,"COL",124476614.246471,49,"pasture"
"474",12,"DZA",NA,NA,"pasture"
"475",12,"ERI",38708087.8526471,18,"pasture"
"476",12,"ETH",193467102.655059,48,"pasture"
"477",12,"GAB",1165677.66970588,34,"pasture"
"478",12,"GHA",14391404.1707647,39,"pasture"
"479",12,"GIN",4678029.68011765,74,"pasture"
"480",12,"GMB",4112860.95035294,54,"pasture"
"481",12,"GNB",831302.904352941,67,"pasture"
"482",12,"GUY",13449291.9116471,51,"pasture"
"483",12,"HND",127100.994882353,26,"pasture"
"484",12,"IDN",53058.0428823529,59,"pasture"
"485",12,"IND",4109.631,43,"pasture"
"486",12,"KEN",365108303.84647,37,"pasture"
